year,vix,fed_funds,oil_price
1990,26.38,7.31,28.48
1991,19.31,4.43,19.15
1992,12.57,2.92,19.49
1993,11.66,2.96,14.19
1994,13.2,5.45,17.77
1995,12.52,5.6,19.54
1996,20.92,5.29,25.9
1997,24.01,5.5,17.65
1998,24.42,4.68,12.14
1999,24.64,5.3,25.76
2000,26.85,6.4,26.72
2001,23.8,1.82,19.96
2002,28.62,1.24,31.21
2003,18.31,0.98,32.51
2004,13.29,2.16,43.36
2005,12.07,4.16,61.06
2006,11.56,5.24,60.85
2007,22.5,4.24,95.95
2008,40.0,0.16,44.6
2009,21.68,0.12,79.39
2010,17.75,0.18,91.38
2011,23.4,0.07,98.83
2012,18.02,0.16,91.83
2013,13.72,0.09,98.17
2014,19.2,0.12,53.45
2015,18.21,0.24,37.13
2016,14.04,0.54,53.75
2017,11.04,1.3,60.46
2018,25.42,2.27,45.15
2019,13.78,1.55,61.14
2020,22.75,0.09,48.35
2021,17.22,0.08,75.33
2022,21.67,4.1,80.16
2023,12.45,5.33,71.89
